No,RASdeg,DESdeg,RAJ2000,DEJ2000,RAWdeg,DEWdeg,z,M1450,imag,e_imag,SDSS,KOAjobID,extracted,use
1,4.28541667,81.58555556,,,,,3.366,-31.246,,,,104297.0,True,True
2,127.923775132,52.7548742129,127.92377499999998,52.75487499999999,127.9237472,52.75487560000001,3.911,-30.963761,14.842558,0.012393,J083141.70+524517.5,113104.0,True,False
3,216.15878449299998,22.9335307154,216.15878333333333,22.933530555555553,216.1587466,22.9334549,3.62,-30.31231,15.312149,0.015678,J142438.10+225600.7,119681.0,True,True
4,55.4631900093,17.3471526494,55.46319166666666,17.347152777777776,55.46321379999999,17.3471498,3.69,-29.456235,16.19343,0.019872,J034151.16+172049.7,,,
5,329.367623,-36.0375573,,,,,4.692,-29.3,,,,,,
6,296.228556,77.097965,,,,,3.051,-29.18,,,,89604.0,True,True
7,216.734116275,60.4307848586,216.73411666666664,60.4307861111111,216.7341154,60.4308027,3.1860000000000004,-29.134225,16.204409,0.018969,J142656.18+602550.8,124485.0,True,False
8,199.03741457799998,25.8251200465,199.0374125,25.82511944444445,199.03739030000003,25.825125,3.65,-28.988625,16.632611999999998,0.014946,J131608.97+254930.4,,,
9,153.696592332,43.0083819233,153.69659166666662,43.00838055555555,153.6966779,43.0083612,3.1,-28.958687,16.329275,0.020265,J101447.18+430030.1,2315.0,True,check
10,182.737644241,9.90748650013,182.73764583333332,9.90748611111111,182.7376439,9.9074954,3.803,-28.94136,16.768038,0.026503,J121057.03+095426.9,5707.0,False,False
11,141.651398575,30.918069333800002,141.6514,30.91806944444444,141.6513961,30.918065500000004,4.19,-28.910441,17.016810999999993,0.01376,J092636.33+305505.0,9075.0,True,False
12,180.026028653,31.4419095481,180.02602916666663,31.44190833333333,180.0260456,31.4419022,2.98,-28.889844,16.324343,0.018369,J120006.24+312630.8,14150.0,False,False
13,242.18292661099997,7.25239986955,242.18292499999995,7.252399999999999,242.1829267,7.2524107,2.881,-28.88454,16.258808,0.016387,J160843.90+071508.6,16551.0,True,check
14,252.020201996,49.557444424399996,252.0202,49.557444444444435,252.0202127,49.5574542,4.22,-28.835189,17.111710000000002,0.012815,J164804.84+493326.8,,,
15,201.5166465,70.3961983,,,,,2.889,-28.8,,,,,,
16,135.13962086200002,42.2630578646,135.1396208333333,42.26305833333333,135.13961840000002,42.2630734,3.293,-28.745196000000004,16.679543,0.019378,J090033.50+421547.0,18231.0,True,False
17,156.811572371,35.721503503200005,156.81157083333332,35.72150277777777,156.8115876,35.7215076,3.104,-28.710956,16.575665,0.0179,J102714.77+354317.4,20463.0,True,True
18,167.660979292,48.5210320012,167.66097916666664,48.52103333333333,167.660972,48.52102100000001,2.959,-28.691883,16.496881,0.01457,J111038.63+483115.7,27266.0,False,False
19,120.32414814100001,52.176265451300004,120.32415,52.17626666666666,120.3241632,52.1762841,3.209,-28.66658300000001,16.689423,0.01442,J080117.79+521034.5,28424.0,True,True
20,32.160022865,17.1145469416,32.16002083333333,17.11454722222222,32.16003,17.1145359,3.51,-28.634893,16.91165,0.016971,J020838.40+170652.3,,,
21,234.62731467700002,8.921425515,234.62731666666664,8.921425,234.6274146,8.9215561,3.54,-28.612746,16.944364999999998,0.012704,J153830.55+085517.1,,,
22,231.47456926,51.6136579002,231.47457083333333,51.61365833333333,231.4745798,51.6136969,2.883,-28.591885,16.547716,0.014283,J152553.89+513649.1,,,
23,164.484454568,45.9313991916,164.4844541666666,45.9314,164.48441540000005,45.9314193,4.134,-28.577587,17.311007999999998,0.028516000000000007,J105756.26+455553.0,30510.0,True,False
24,249.787955032,28.413099555,249.78795416666665,28.4131,249.7878769,28.413101300000005,3.815,-28.560261,17.14992,0.085964,J163909.10+282447.1,,,
25,245.320509597,-0.714128827854,245.3205083333333,-0.7141277777777777,245.320511,-0.7141546999999999,3.7027,-28.546359,17.093035,0.009202,J162116.92-004250.8,,,
26,6.20099400158,8.2033412149,6.200995833333333,8.203341666666665,6.2010085,8.203333599999999,3.34,-28.532086,16.928274,0.011884,J002448.23+081212.0,,,
27,245.542119172,7.037598029680001,245.5421208333333,7.037597222222222,245.5421016,7.037613900000001,3.264,-28.530601,16.86607,0.013936000000000002,J162210.10+070215.3,,,
28,177.59824719999997,28.3187483147,177.59824583333332,28.31874722222221,177.5982319,28.3187533,3.1180000000000003,-28.519873,16.779196,0.014705,J115023.57+281907.4,,,
29,149.90462832,13.204311849000002,149.9046291666666,13.204311111111107,149.9045929,13.2043783,4.064,-28.507635,17.337372,0.024469,J095937.11+131215.5,,,
30,206.930378305,49.939248682700004,206.93037916666665,49.93925,206.9304174,49.9392448,4.564,-28.501865,17.59617,0.014909,J134743.29+495621.2,34810.0,True,False
31,263.46764338,54.00846015689999,263.4676416666666,54.008461111111096,263.4676262,54.0084578,3.4248,-28.498633,17.013262,0.013837,J173352.23+540030.4,36576.0,True,True
32,179.976379855,20.3225325826,179.97637916666665,20.32253333333333,179.9763864,20.322546,3.425,-28.496990000000004,17.015055,0.015844999999999998,J115954.33+201921.1,,,
33,253.650159309,73.4764009763,253.6501583333333,73.47639999999998,253.6502074,73.476411,4.41,-28.492729,17.57718,0.018849,J165436.03+732835.0,,,
34,180.880375055,15.3818786249,180.880375,15.381877777777774,180.8803936,15.381878400000002,2.985,-28.414449,16.803225,0.025364,J120331.29+152254.7,39575.0,False,False
35,150.700033366,66.5111857809,150.70003333333332,66.5111861111111,150.70002240000005,66.5111879,3.89,-28.395308,17.356884,0.021214,J100248.00+663040.2,,,
36,201.549372078,7.73288482894,201.5493708333333,7.73288611111111,201.5493761,7.732868700000001,4.115,-28.39256,17.480824,0.014818,J132611.84+074358.3,,,
37,175.786998643,34.872857700000004,175.78699999999995,34.87285833333333,175.7869131,34.872763899999995,3.155,-28.382542,16.936087,0.012486,J114308.88+345222.2,39852.0,True,True
38,15.555450343599999,12.756655163800001,15.55545,12.756655555555556,15.555478699999998,12.7566614,2.8,-28.382073,16.693031,0.015837,J010213.30+124523.9,,,
39,167.829602925,13.6010825225,167.82960416666666,13.601083333333333,167.8295874,13.6010796,3.475,-28.375474,17.155869,0.016073,J111119.10+133603.9,,,
40,189.172728886,65.91171860760001,189.17272916666664,65.91171944444443,189.1727219,65.9117329,3.385,-28.370438,17.125339999999998,0.020394,J123641.45+655442.1,,,
41,351.21922796,18.4045915964,351.21922916666665,18.404591666666665,351.21923260000005,18.4045687,3.35,-28.369957,17.101505,0.017067,J232452.61+182416.5,,,
42,3.86366540002,6.669750575399999,3.863666666666666,6.669749999999999,3.8636436,6.6697572,3.17,-28.361856,16.964516,0.018186,J001527.28+064011.1,41580.0,False,False
43,339.973611179,-5.87226473278,339.97361249999994,-5.872263888888887,339.9736487,-5.8722268,4.55,-28.360281,17.731018,0.028244,J223953.66-055220.1,43254.0,True,check
44,354.66553756800005,29.4058341309,354.6655375,29.40583333333333,354.6655506,29.4058283,3.9,-28.353459,17.402842,0.014947,J233839.72+292421.0,,,
45,148.942331675,19.988432504200002,148.94233333333332,19.98843333333333,148.9423094,19.9884601,4.25,-28.348645,17.610979999999994,0.016479,J095546.16+195918.3,,,
46,215.349931249,46.5549890028,215.34992916666664,46.55498888888889,215.3499241,46.55498220000001,3.445,-28.33637,17.186464,0.016211,J142123.98+463317.9,48028.0,True,False
47,179.777186726,13.6271489101,179.77718749999997,13.62715,179.7771779,13.627171300000002,4.05,-28.334859,17.50102,0.020627,J115906.52+133737.7,,,
48,247.73473053900003,4.59983998319,247.73472916666665,4.599838888888888,247.7347284,4.5998617999999984,3.78,-28.297577,17.387978,0.011395,J163056.33+043559.4,,,
49,151.853676712,58.03431120810001,151.85367499999995,58.034311111111094,151.853646,58.03431170000001,3.768,-28.295032,17.383095,0.016569999999999998,J100724.88+580203.5,,,
50,146.892487875,14.3547088638,146.8924875,14.354708333333333,146.89250249999995,14.3547416,3.031,-28.294542,16.945608,0.019022,J094734.19+142116.9,,,
51,221.428155496,49.0469293671,221.42815416666664,49.046930555555534,221.428195,49.0469453,3.88,-28.292993,17.450254,0.009447,J144542.75+490248.9,,,
52,145.508517687,4.3790401708800015,145.50851666666662,4.379038888888888,145.5085329,4.3790199,3.274,-28.289273,17.116344,0.016512,J094202.04+042244.5,54447.0,True,True
53,15.2051888216,-3.32053606009,15.205187499999996,-3.3205361111111107,15.2051659,-3.3205412000000005,3.44,-28.284263,17.235712,0.011859,J010049.24-031913.9,,,
54,180.44961276700002,12.108417140899999,180.4496125,12.108416666666665,180.4496272,12.1084085,3.504,-28.276756,17.258236,0.024030000000000003,J120147.90+120630.3,57261.0,True,True
55,158.582155875,19.2061593401,158.5821541666666,19.206158333333327,158.5821914,19.206151,3.144,-28.270681,17.040318,0.020677,J103419.71+191222.1,,,
56,207.68611566599998,57.2785983631,207.68611666666663,57.278597222222224,207.686193,57.2785838,2.899,-28.266961,16.888254,0.020652,J135044.66+571642.9,59532.0,True,check
57,28.9928310777,-19.480283927000002,28.99282916666667,-19.480283333333333,28.9928011,-19.4802857,3.65,-28.266428,17.331020000000002,0.010161,J015558.27-192849.0,,,
58,158.653360228,18.9188642774,158.65335833333333,18.918863888888886,158.653401,18.9188592,2.857,-28.262146,16.860907,0.020272,J103436.80+185507.9,,,
59,142.136974388,18.8067985327,142.13697499999995,18.80679722222222,142.13697480000005,18.8067838,3.686,-28.261089,17.359972,0.019737,J092832.87+184824.4,,,
60,250.929983273,16.625252674000002,250.92998333333333,16.625252777777774,250.9300398,16.625343,3.15,-28.258111,17.057755,0.015041,J164343.19+163730.9,,,
61,20.4834914141,14.806646130799999,20.483491666666666,14.806647222222221,20.483489,14.8066541,2.872,-28.234157,16.899687,0.016097999999999998,J012156.03+144823.9,61321.0,True,False
62,50.4433497605,11.964849989200001,50.44335,11.964849999999998,50.4433151,11.964832199999998,2.94,-28.22507,16.9515,0.013352,J032146.40+115753.4,,,
63,126.660799433,51.8758944541,126.66079999999998,51.87589444444443,126.6607966,51.8759173,2.85,-28.224341,16.892733,0.018147,J082638.59+515233.2,,,
64,211.94680506400002,64.9055341516,211.94680416666665,64.90553333333332,211.9467252,64.9055357,3.099,-28.220263,17.064606,0.015501,J140747.23+645419.9,64295.0,True,check
65,227.34743417,24.545352981399997,227.34743333333333,24.54535277777777,227.347437,24.5453746,3.045,-28.20532,17.044075,0.012988,J150923.38+243243.2,,,
66,9.54618824605,36.6677626519,9.546187499999998,36.667763888888885,9.5461907,36.6677419,3.48,-28.199296,17.328968,0.031338,J003811.08+364003.9,,,
67,238.60899857099997,19.617510027799998,238.609,19.61751111111111,238.6090052,19.6174928,4.612,-28.187437,17.902723,0.016947999999999998,J155426.16+193703.0,,,
68,136.097386401,13.1557530144,136.0973875,13.155752777777774,136.0973399,13.1558046,2.983,-28.187007,17.015929999999994,0.012552,J090423.37+130920.7,,,
69,233.00669049599998,37.0006629283,233.00669166666665,37.00066388888889,233.0066922,37.00066010000001,3.099,-28.178478,17.107546,0.016163,J153201.60+370002.3,3091.0,True,False
70,25.2049551901,-8.661793875419999,25.204954166666663,-8.661794444444443,25.2049427,-8.6617993,3.7131,-28.175604,17.46186,0.011387,J014049.18-083942.4,,,
71,147.558548156,58.0268172295,147.55854999999997,58.02681666666666,147.55851189999996,58.0268279,3.973,-28.173826,17.619308,0.015029,J095014.05+580136.5,,,
72,220.708830995,9.3337655172,220.70882916666665,9.333766666666666,220.7088304,9.333771,3.529,-28.172924,17.365660000000002,0.018017,J144250.11+092001.5,,,
73,32.4613014802,-0.0851358584374,32.461299999999994,-0.0851361111111111,32.4613061,-0.08512689999999999,2.85,-28.171999,16.943659,0.014111000000000004,J020950.71-000506.4,,,
74,220.919579002,58.948120983900004,220.91957916666664,58.948122222222224,220.91959790000004,58.9481216,4.314,-28.169644,17.833149,0.01718,J144340.69+585653.2,,,
75,167.83579319700002,24.6280200091,167.8357916666666,24.62801944444444,167.83580569999995,24.6280058,3.185,-28.16815200000001,17.173225,0.017004,J111120.59+243740.8,,,
76,177.21445585599997,23.227900003400002,177.21445416666663,23.2279,177.2144717,23.2278941,3.083,-28.15235,17.122835000000002,0.017279,J114851.46+231340.4,,,
77,185.929824658,50.6315198667,185.929825,50.631519444444436,185.929834,50.63151729999999,3.491,-28.144065,17.385138,0.01647,J122343.15+503753.4,,,
78,359.5355914,1.41866792527,359.5355916666666,1.4186666666666663,359.5356118,1.418669,3.395,-28.140381,17.35291,0.017647,J235808.54+012507.2,,,
79,147.384456409,3.59216373205,147.38445833333333,3.5921638888888885,147.38444909999996,3.5921526,4.107,-28.135538,17.730902,0.015733,J094932.27+033531.7,,,
80,341.50935814,27.4966784542,341.5093583333333,27.496677777777766,341.5093516,27.4966828,3.029,-28.126031,17.11052,0.01577,J224602.24+272948.0,,,
81,191.654427123,26.4167416413,191.65442916666663,26.41674166666667,191.6544629,26.4167567,3.132,-28.120665,17.188254999999998,0.013048,J124637.06+262500.2,,,
82,23.096708464000002,18.698807675,23.09670833333333,18.69880833333333,23.0966985,18.6987969,3.72,-28.117935,17.524217999999998,0.023634,J013223.21+184155.7,,,
83,158.207864625,5.6884306468,158.20786666666663,5.688430555555555,158.20784550000005,5.6884196,2.8510000000000004,-28.114371,17.000944,0.010053,J103249.88+054118.3,,,
